math_SAT,verb_SAT,univ_GPA,SAT
643,589,3.52,1232
558,512,2.91,1070
583,503,2.4,1086
685,602,3.47,1287
592,538,3.47,1130
562,486,2.37,1048
573,548,2.4,1121
559,536,2.24,1095
552,583,3.02,1135
617,591,3.32,1208
684,649,3.59,1333
568,592,2.54,1160
604,582,3.19,1186
619,624,3.71,1243
642,619,3.58,1261
683,642,3.4,1325
703,684,3.73,1387
712,652,3.49,1364
564,501,2.25,1065
557,549,2.37,1106
591,584,3.29,1175
599,562,3.19,1161
607,619,3.28,1226
619,558,3.37,1177
700,721,3.61,1421
718,732,3.81,1450
580,538,2.4,1118
562,507,2.21,1069
683,648,3.58,1331
717,724,3.51,1441
701,714,3.62,1415
691,684,3.6,1375
714,706,3.65,1420
689,673,3.76,1362
554,507,2.27,1061
564,543,2.35,1107
668,604,3.17,1272
691,662,3.47,1353
573,591,3,1164
568,517,2.74,1085
607,624,3.37,1231
651,683,3.54,1334
604,583,3.28,1187
560,542,3.39,1102
604,617,3.28,1221
574,548,3.19,1122
564,500,2.52,1064
607,528,3.08,1135
619,573,3.01,1192
647,608,3.42,1255
651,683,3.6,1334
571,543,2.4,1114
583,510,2.83,1093
554,538,2.38,1092
568,519,3.21,1087
574,602,2.24,1176
605,619,3.4,1224
591,584,3.07,1175
642,608,3.52,1250
608,573,3.47,1181
574,538,3.08,1112
643,607,3.38,1250
608,649,3.41,1257
709,688,3.64,1397
691,645,3.71,1336
667,583,3.01,1250
656,609,3.37,1265
554,542,2.34,1096
692,563,3.29,1255
684,672,3.4,1356
717,649,3.38,1366
712,708,3.28,1420
641,608,3.31,1249
675,632,3.42,1307
692,698,3.39,1390
684,609,3.51,1293
564,591,3.17,1155
554,509,3.2,1063
685,694,3.41,1379
671,609,3.29,1280
571,503,3.17,1074
582,591,3.12,1173
621,589,3.71,1210
651,642,3.5,1293
673,681,3.34,1354
651,640,3.48,1291
672,607,3.44,1279
591,587,3.59,1178
582,612,3.28,1194
609,555,3,1164
554,480,3.42,1034
612,590,3.41,1202
628,580,3.49,1208
567,602,3.28,1169
619,623,3.17,1242
691,683,3.24,1374
564,549,2.34,1113
650,684,3.28,1334
551,554,2.29,1105
568,541,2.08,1109
605,590,3.64,1195
692,683,3.42,1375
680,692,3.25,1372
617,503,2.76,1120
516,528,3.41,1044
